Model,Baseline,Method,val_MR ,val_brier-minFDE6,val_minADE1,val_minADE6,val_minFDE1,val_minFDE6,GFlops,Params (Millions)
Small wide,TRUE,RKD,0.3111052811,2.583022594,2.399650335,0.9691026211,5.998485088,1.971895099,0.204381824,0.535729
Small wide,FALSE,RKD,0.2905729711,2.478018045,2.255474567,0.9222966433,5.650725842,1.865941763,0.204381824,0.535729
Small wide,TRUE,Hint,0.3156645596,2.634777784,2.40102005,0.9711485505,6.045285225,2.0205338,0.204381824,0.535729
Small wide,FALSE,Hint,0.2994461954,2.687504768,2.28985095,0.9754986167,5.767900944,2.030525446,0.204381824,0.535729
Small wide,TRUE,TDD,0.3227848113,2.670316458,2.438186169,0.9874674082,6.096375465,2.05147481,0.204381824,0.535729
Small wide,FALSE,TDD,0.3334651887,2.67535758,2.449459076,1.001561761,6.098191261,2.061949015,0.204381824,0.535729
Small thin,TRUE,RKD,0.3063322902,2.560704231,2.339965343,0.9412026405,5.923926353,1.933535099,0.233774304,0.474433
Small thin,FALSE,RKD,0.2885037363,2.501559496,2.194667339,0.9155802727,5.547450066,1.883739352,0.233774304,0.474433
Small thin,TRUE,Hint,0.3121044338,2.646561146,2.374949217,0.9680983424,5.973988056,2.02314043,0.233774304,0.474433
Small thin,FALSE,Hint,0.2935126722,2.609609842,2.252175331,0.9393972754,5.69041872,1.957105279,0.233774304,0.474433
Small thin,TRUE,TDD,0.3041930497,2.637426615,2.359376907,0.9739561677,5.960961819,2.015459299,0.233774304,0.474433
Small thin,FALSE,TDD,0.3045886159,2.630017996,2.385671377,0.9725603461,6.037140846,2.006615639,0.233774304,0.474433
Tiny wide,TRUE,RKD,0.3628304005,2.823026419,2.670267582,1.099527121,6.602747917,2.212411404,0.154382656,0.287313
Tiny wide,FALSE,RKD,0.3529929519,2.766480684,2.531358719,1.064516068,6.278028488,2.154913902,0.154382656,0.287313
Tiny wide,TRUE,Hint,0.3579905033,2.885860682,2.663857698,1.100226164,6.607609749,2.268315792,0.154382656,0.287313
Tiny wide,FALSE,Hint,0.3374208808,2.778187275,2.539109707,1.024258733,6.341018677,2.151296139,0.154382656,0.287313
Tiny wide,TRUE,TDD,0.3623417616,2.889789581,2.623668194,1.084059358,6.530213833,2.265444994,0.154382656,0.287313
Tiny wide,FALSE,TDD,0.3619461954,2.880046368,2.61163187,1.083842754,6.483304977,2.261713266,0.154382656,0.287313
Tiny thin,TRUE,RKD,0.3425153196,2.737431049,2.466198444,1.035752296,6.220994949,2.122807741,0.16707,0.277465
Tiny thin,FALSE,RKD,0.3440815508,2.748756409,2.480565071,1.036094785,6.289716244,2.125684023,0.16707,0.277465
Tiny thin,TRUE,Hint,0.359572798,2.889562368,2.567430973,1.075176001,6.512618065,2.281177044,0.16707,0.277465
Tiny thin,FALSE,Hint,0.2887658179,2.735962391,2.414913177,0.9930912256,6.078606129,2.075621605,0.16707,0.277465
Tiny thin,TRUE,TDD,0.3571993709,2.885404587,2.586324215,1.09557879,6.534364223,2.269465923,0.16707,0.277465
Tiny thin,FALSE,TDD,0.3623417616,2.910612583,2.610489368,1.082995057,6.588479996,2.284801245,0.16707,0.277465
